_id,FSA,BEV,PHEV,TotalEV
264,L9S,342,87,429
265,L9T,1343,359,1702
266,L9V,150,50,200
267,L9W,407,143,550
268,L9X,187,50,237
269,L9Y,266,102,368
270,L9Z,137,59,196
271,M0N,1,,1
272,M1B,297,140,437
273,M1C,357,108,465
274,M1E,228,83,311
275,M1G,99,42,141
276,M1H,125,38,163
277,M1J,87,36,123
278,M1K,121,39,160
279,M1L,125,48,173
280,M1M,148,66,214
281,M1N,156,75,231
282,M1P,198,64,262
283,M1R,146,49,195
284,M1S,231,80,311
285,M1T,141,57,198
286,M1V,279,61,340
287,M1W,203,69,272
288,M1X,138,36,174
289,M2B,1,,1
290,M2H,185,59,244
291,M2J,509,151,660
292,M2K,292,83,375
293,M2L,252,64,316
294,M2M,293,97,390
295,M2N,786,257,1043
296,M2P,204,33,237
297,M2R,173,82,255
298,M3A,428,62,490
299,M3B,319,80,399
300,M3C,226,56,282
301,M3H,284,86,370
302,M3J,159,47,206
303,M3K,68,14,82
304,M3L,54,16,70
305,M3M,42,21,63
306,M3N,69,18,87
307,M3R,,1,1
308,M3V,1,,1
309,M3Y,1,,1
310,M4A,56,22,78
311,M4B,107,42,149
312,M4C,187,97,284
313,M4E,224,106,330
314,M4G,335,118,453
315,M4H,28,16,44
316,M4J,207,87,294
317,M4K,199,94,293
318,M4L,243,112,355
319,M4M,316,83,399
320,M4N,338,118,456
321,M4P,166,60,226
322,M4R,162,68,230
323,M4S,285,55,340
324,M4T,148,48,196
325,M4V,261,84,345
326,M4W,252,92,344
327,M4X,47,13,60
328,M4Y,156,40,196
329,M5A,308,92,400
330,M5B,56,19,75
331,M5C,128,23,151
332,M5E,98,24,122
333,M5G,99,51,150
334,M5H,218,15,233
335,M5J,137,48,185
336,M5K,6,2,8
337,M5L,3,,3
338,M5M,436,140,576
339,M5N,215,68,283
340,M5P,277,93,370
341,M5R,289,85,374
342,M5S,92,40,132
343,M5T,74,25,99
344,M5V,542,101,643
345,M5W,3,13,16
346,M5X,5,2,7
347,M6A,99,34,133
348,M6B,157,49,206
349,M6C,224,69,293
350,M6E,132,49,181
351,M6G,178,90,268
352,M6H,165,80,245
353,M6J,206,69,275
354,M6K,211,62,273
355,M6L,64,21,85
356,M6M,93,41,134
357,M6N,118,56,174
358,M6P,208,97,305
359,M6R,152,75,227
360,M6S,345,172,517
361,M6Y,1,,1
362,M6Z,1,,1
363,M7A,5,,5
364,M8A,1,1,2
365,M8B,2,,2
366,M8V,355,114,469
367,M8W,211,53,264
368,M8X,203,69,272
369,M8Y,219,71,290
370,M8Z,389,139,528
371,M9A,361,136,497
372,M9B,347,100,447
373,M9C,210,89,299
374,M9L,69,19,88
375,M9M,70,15,85
376,M9N,85,31,116
377,M9P,96,25,121
378,M9R,107,40,147
379,M9V,205,55,260
380,M9W,1398,83,1481
381,M9Y,1,1,2
382,N0A,147,65,212
383,N0B,928,372,1300
384,N0C,80,39,119
385,N0E,146,76,222
386,N0G,298,150,448
387,N0H,359,184,543
388,N0J,156,81,237
389,N0K,51,46,97
390,N0L,300,135,435
391,N0M,292,145,437
392,N0N,112,87,199
393,N0P,147,83,230
394,N0R,285,178,463
395,N1A,35,17,52
396,N1C,31,23,54
397,N1E,277,127,404
398,N1G,257,104,361
399,N1H,281,119,400
400,N1J,1,,1
401,N1K,80,29,109
402,N1L,223,75,298
403,N1M,113,57,170
404,N1N,1,,1
405,N1P,42,13,55
406,N1R,206,70,276
407,N1S,152,63,215
408,N1T,161,45,206
409,N2A,231,100,331
410,N2B,125,49,174
411,N2C,95,35,130
412,N2E,181,73,254
413,N2G,124,44,168
414,N2H,162,78,240
415,N2J,188,67,255
416,N2K,372,119,491
417,N2L,280,110,390
418,N2M,171,69,240
419,N2N,134,90,224
420,N2P,280,101,381
421,N2R,231,63,294
422,N2S,1,,1
423,N2T,233,103,336
424,N2V,258,101,359
425,N2Z,105,48,153
426,N3A,164,81,245
427,N3B,71,44,115
428,N3C,242,82,324
429,N3E,46,7,53
430,N3G,1,,1
431,N3H,158,51,209
432,N3K,1,,1
433,N3L,158,71,229
434,N3M,2,,2
435,N3P,29,26,55
436,N3R,142,67,209
437,N3S,96,42,138
438,N3T,289,117,406
439,N3V,20,3,23
440,N3W,104,43,147
441,N3Y,82,33,115
442,N4B,12,11,23
443,N4C,1,,1
444,N4G,103,48,151
445,N4K,126,78,204
446,N4L,34,24,58
447,N4N,37,15,52
448,N4S,151,67,218
449,N4T,111,45,156
450,N4V,25,12,37
451,N4W,79,34,113
452,N4X,61,28,89
453,N4Z,16,13,29
